HPO编号	主分类(中文)	名称(英文)	定义(英文)	中文译名	中文定义
HP:0000002	生长异常	Abnormality of body height	Deviation from the norm of height with respect to that which is expected according to age and gender norms.	身高异常	身高偏离该年龄性别预期身高的正常范围。
HP:0000003	泌尿生殖系统异常	Multicystic kidney dysplasia	Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvocaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.	多囊性肾发育不良	多囊性肾发育不良的特点是：肾脏有大小不一的肾囊肿，缺乏正常肾盂肾盏系统。这种状态伴发输尿管或肾盂输尿管闭锁，受累肾脏无功能。
HP:0000005	遗传模式	Mode of inheritance	The pattern in which a particular genetic trait or disorder is passed from one generation to the next.	遗传模式	#####
HP:0000006	遗传模式	Autosomal dominant inheritance	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.	常染色体显性遗传	#####
HP:0000007	遗传模式	Autosomal recessive inheritance	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in homozygotes. In the context of medical genetics, autosomal recessive disorders manifest in homozygotes (with two copies of the mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).	常染色体隐性遗传	#####
HP:0000008	泌尿生殖系统异常	Abnormality of female internal genitalia	An abnormality of the `female internal genitalia` (FMA:45654).	女性内生殖器异常	女性内生殖器（FMA：45654）的异常。
HP:0000009	泌尿生殖系统异常	Functional abnormality of the bladder	`Dysfunction` (PATO:0001641) of the `urinary bladder` (FMA:15900).	膀胱功能异常	膀胱（FMA：15900）的功能异常。
HP:0000010	泌尿生殖系统异常,免疫系统异常	Recurrent urinary tract infections	Repeated infections of the urinary tract.	复发性尿路感染	尿路反复感染。
HP:0000011	泌尿生殖系统异常	Neurogenic bladder	An inability to completely empty the `urinary bladder` (FMA:15900) during the process of `urination` (GO:0060073) owing to a neurological condition.	神经源性膀胱功能障碍	由于神经系统疾患导致排尿过程中无法完全排空膀胱（FMA：15900）。
HP:0000012	泌尿生殖系统异常	Urinary urgency	Urge incontinence is the strong, sudden need to urinate.	尿急	突然的强烈排尿感导致急迫性尿失禁。
HP:0000013	泌尿生殖系统异常	Hypoplasia of the uterus	Underdevelopment of the `uterus` (FMA:17558).	子宫发育不良	子宫（FMA：17558）发育低下。
HP:0000014	泌尿生殖系统异常	Abnormality of the bladder	An abnormality of the `urinary bladder` (FMA:15900).	膀胱异常	发生在膀胱（FMA：15900）的异常。
HP:0000015	泌尿生殖系统异常	Bladder diverticulum	`Diverticulum` (MPATH:68) (sac or pouch) in the `wall of the urinary bladder` (FMA:15902).	膀胱憩室	膀胱壁（FMA：15902）上存在憩室（MPATH：68）。
HP:0000016	泌尿生殖系统异常	Urinary retention	Inability to completely empty the `urinary bladder` (FMA:15900) during the process of `urination` (GO:0060073).	尿潴留	排尿过程中无法完全排空膀胱（FMA：15900）。
HP:0000017	泌尿生殖系统异常	Nocturia	Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.	夜尿症	夜间尿量异常增多导致异乎寻常的频繁排尿。
HP:0000019	泌尿生殖系统异常	Urinary hesitancy	Difficulty in beginning the process of `urination` (GO:0060073).	排尿踌躇	排尿（GO：0060073）开始时不畅。
HP:0000020	泌尿生殖系统异常	Urinary incontinence	Loss of the ability to control the `urinary bladder` (FMA:15900) leading to involuntary `urination` (GO:0060073).	尿失禁	膀胱（FMA：15900）控制能力丧失，导致非自主性排尿（GO：0060073）。
